Altitude,Latitude,Longitude,ICSEV,SLD,ICPRB
11000,40.1652,-73.0544,1,-0.09,0.6
11000,40.1463,-72.9029,2,-0.09,0.67
11000,40.1271,-72.7514,2,-0.09,0.78
11000,40.1079,-72.5999,2,-0.09,0.77
11000,40.0885,-72.4485,2,-0.09,0.75
11000,40.069,-72.2972,2,-0.09,0.75
11000,40.0494,-72.1459,2,-0.09,0.75
11000,40.0296,-71.9947,2,0.19,0.76
11000,40.6169,-75.9225,2,-0.09,0.11
11000,40.6004,-75.7698,2,-0.09,0.1
11000,40.5838,-75.6171,2,-0.09,0.09
11000,40.567,-75.4645,2,-0.09,0.1
11000,40.5501,-75.3119,2,-0.09,0.1
11000,40.5331,-75.1594,2,-0.09,0.08
11000,40.516,-75.0069,2,-0.09,0.07
11000,40.4987,-74.8545,2,-0.09,0.07
11000,40.4813,-74.7022,2,-0.09,0.06
11000,40.4637,-74.5498,2,-0.09,0.05
11000,40.4461,-74.3976,2,-0.09,0.04
11000,40.4282,-74.2454,2,-0.09,0.04
11000,40.4103,-74.0932,1,-0.09,0.05
11000,40.3922,-73.9411,1,-0.09,0.05
11000,40.374,-73.7891,1,-0.09,0.3
11000,40.3557,-73.6371,1,-0.09,0.32
11000,40.3372,-73.4851,1,-0.09,0.34
11000,40.3186,-73.3333,2,-0.09,0.35
11000,40.2999,-73.1814,2,-0.09,0.37
11000,40.281,-73.0296,2,-0.09,0.48
11000,40.262,-72.8779,2,-0.09,0.63
11000,40.2429,-72.7263,2,-0.09,0.7
11000,40.2237,-72.5747,2,-0.09,0.75
11000,40.2043,-72.4231,2,-0.09,0.78
11000,40.1848,-72.2716,2,0.13,0.78
11000,40.1651,-72.1202,2,-0.09,0.77
11000,40.7328,-75.9008,2,-0.09,0.15
11000,40.7163,-75.7479,2,-0.09,0.13
11000,40.6997,-75.5951,2,-0.09,0.1
11000,40.6829,-75.4423,2,-0.09,0.09
11000,40.666,-75.2896,2,-0.09,0.09
11000,40.649,-75.1369,2,-0.09,0.08
11000,40.6318,-74.9843,2,-0.09,0.08
11000,40.6145,-74.8317,2,-0.09,0.07
11000,40.5971,-74.6792,2,-0.09,0.07
11000,40.5796,-74.5267,2,-0.09,0.06
11000,40.5619,-74.3742,2,-0.09,0.06
11000,40.5441,-74.2219,2,-0.09,0.06
11000,40.5261,-74.0696,2,-0.09,0.06
11000,40.508,-73.9173,1,-0.09,0.06
11000,40.4898,-73.7651,1,-0.09,0.08
11000,40.4715,-73.6129,1,-0.09,0.32
11000,40.453,-73.4608,1,-0.09,0.32
11000,40.4344,-73.3087,1,-0.09,0.34
11000,40.4156,-73.1568,1,-0.09,0.35
11000,40.3968,-73.0048,2,-0.09,0.37
11000,40.3778,-72.8529,2,-0.09,0.53
11000,40.3586,-72.7011,2,-0.09,0.59
11000,40.3394,-72.5493,2,-0.09,0.72
11000,40.32,-72.3976,2,0.13,0.79
11000,40.3004,-72.2459,2,-0.09,0.78
11000,40.2808,-72.0943,2,-0.09,0.78
11000,40.865,-76.0322,2,-0.09,0.19
11000,40.8486,-75.8791,2,-0.09,0.17
11000,40.8321,-75.7261,2,-0.09,0.17
11000,40.8155,-75.5731,2,-0.09,0.15
11000,40.7987,-75.4201,2,-0.09,0.11
11000,40.7818,-75.2672,2,-0.09,0.09
11000,40.7648,-75.1143,2,-0.09,0.08
11000,40.7476,-74.9615,2,-0.09,0.08
11000,40.7303,-74.8088,2,-0.09,0.08
11000,40.7129,-74.6561,2,-0.09,0.08
11000,40.6953,-74.5035,2,-0.09,0.25
11000,40.6776,-74.3509,2,-0.09,0.25
11000,40.6598,-74.1983,2,-0.09,0.26
11000,40.6418,-74.0458,2,-0.09,0.26
11000,40.6237,-73.8934,2,-0.09,0.3
11000,40.6055,-73.741,1,-0.09,0.07
11000,40.5872,-73.5887,1,-0.09,0.3
11000,40.5687,-73.4364,1,-0.09,0.31
11000,40.5501,-73.2842,1,-0.09,0.32
11000,40.5313,-73.132,1,-0.09,0.34
11000,40.5124,-72.9799,2,-0.09,0.36
11000,40.4934,-72.8279,2,-0.09,0.28
11000,40.4743,-72.6759,2,-0.09,0.5
11000,40.455,-72.5239,2,-0.09,0.59
11000,40.4356,-72.3721,2,-0.09,0.67
11000,40.4161,-72.2202,2,-0.09,0.7
11000,40.3964,-72.0685,2,-0.09,0.7
11000,40.9808,-76.0106,2,-0.09,0.46
11000,40.9644,-75.8574,2,-0.09,0.47
11000,40.9479,-75.7041,2,-0.09,0.48
11000,40.9312,-75.551,2,-0.09,0.44
11000,40.9144,-75.3978,2,-0.09,0.43
11000,40.8975,-75.2448,2,-0.09,0.12
11000,40.8805,-75.0917,2,-0.09,0.1
11000,40.8633,-74.9388,2,-0.09,0.09
11000,40.846,-74.7859,2,-0.09,0.08
11000,40.8286,-74.633,2,-0.09,0.08
11000,40.811,-74.4802,2,-0.09,0.26
11000,40.7933,-74.3274,2,-0.09,0.28
11000,40.7754,-74.1747,2,-0.09,0.29
11000,40.7575,-74.022,2,-0.09,0.28
11000,40.7394,-73.8694,2,-0.09,0.26
11000,40.7211,-73.7169,1,-0.09,0.07
11000,40.7028,-73.5644,1,-0.09,0.06
11000,40.6843,-73.412,1,-0.09,0.06
11000,40.6657,-73.2596,1,-0.09,0.08
11000,40.6469,-73.1072,1,-0.09,0.13
11000,40.628,-72.955,2,-0.09,0.18
11000,40.609,-72.8028,2,-0.09,0.21
11000,40.5898,-72.6506,2,-0.09,0.2
11000,40.5706,-72.4985,2,-0.09,0.33
11000,40.5511,-72.3464,2,-0.09,0.49
11000,40.5316,-72.1945,2,-0.09,0.63
11000,40.5119,-72.0425,2,-0.09,0.64
11000,41.0965,-75.989,5,-0.09,0.61
11000,41.0801,-75.8355,5,-0.09,0.54
11000,41.0635,-75.6822,2,-0.09,0.49
